Datetime,Text
2020-08-17 01:04:55+00:00,4 Elites do boy e 3 meus hehe #SmashBros #NintendoSwitch
2020-06-27 01:26:56+00:00,#AnimalCrossing #ACNH #NintendoSwitch
2020-06-19 17:37:42+00:00,#AnimalCrossing #ACNH #NintendoSwitch
2020-01-14 21:22:15+00:00,Pra pensar na bad: O que seu personagem favorito de filme/jogo diria?
2020-01-14 21:08:00+00:00,Medo de largar tudo
2020-01-10 14:28:39+00:00,Ainda qro comprar munchkin aaaaaaa
2019-12-27 06:25:03+00:00,Perdi
2019-12-26 02:06:54+00:00,Paçoca
2019-12-25 05:55:31+00:00,Queria tar o 2 contigo hj
2019-12-24 23:55:27+00:00,"Psé, Facebook ta uma bosta, mano hahaha'"
2019-12-24 17:00:26+00:00,"Nem pra minha mãe ter esperado pra bater na minha tia crente hj e não no mês passado, aí n tava esse tédio todo aq"
2019-12-24 16:47:47+00:00,Tedio ta tao grande aq q ate voltei
2019-12-24 16:46:10+00:00,É aqui o muro das lamentações socialmente aceito? Topo
2018-10-29 05:07:26+00:00,N consegui votar em vc :(
2018-10-04 14:25:20+00:00,Oi
2016-04-29 02:47:30+00:00,Não pode ( ) A ( ) B (X) C
2016-04-28 23:57:17+00:00,o q q ta con te seno?
2016-04-27 20:27:53+00:00,Tipo seu amigo mais traiçoero eh vc msm pq ninguem fala tao mal de vc quanto vc mesmo. :(
2016-04-26 10:54:14+00:00,@steh_saegi Eh q eh a estranho... Eu imagino a neve derretendo no caminho p causa do sol mas nao
2016-04-24 17:28:04+00:00,@bruno_menini HUEHEUHEUEHUHUEEUEUEHUEHUEUEHEEHUEHUEHUEEUHUHHEUHEUEHUEHUUHEUEHEEUHEUEHUEHEUEHEUEHUEHEUEHUEHEUHU
2016-04-24 16:20:26+00:00,@bruno_menini já q n rolou beijar o papa vou ai em Hannover tentar bja o Obama sera q vo preso? Kkkkkkk
2016-04-24 15:11:30+00:00,carai ta sol e nevando ao msm tempo como pode???
2016-04-24 01:10:23+00:00,Nutella *-*
2016-04-21 12:34:03+00:00,Brisando com as bruxaria do jogo da vida de conway... Negocio n eh de Deus n
2016-04-20 14:55:19+00:00,PRU PRUUU
2016-04-20 14:55:08+00:00,"Sendo assim, sempre quis ser uma pomba"
2016-04-20 14:54:50+00:00,Fiquei sabendo que aq no twitter pode falar seus desejo interior
2016-04-20 01:30:20+00:00,Td errado .-.
